tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***34557,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2013,OPP,10 DALHOUSIE ST,,,ON
***36689,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2013,OPP,142 KING ST E,,,ON
***96027,20120106,2,PARK OVER 3 HOURS,15,2014,NR,20 BOULTON DR,,,ON
***97381,20120106,29,PARK PROHIBITED TIME NO PERMIT,30,2014,NR,45 TRANBY AVE,,,ON
***04785,20120106,29,PARK PROHIBITED TIME NO PERMIT,30,2014,NR,102 GRACE ST,,,ON
***27364,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2014,NR,333 LONSDALE RD,,,ON
***14282,20120106,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2015,,3947 LAWRENCE AVE E,,,ON
***96028,20120106,2,PARK OVER 3 HOURS,15,2015,NR,18 BOULTON DR,,,ON
***27365,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2015,NR,335 LONSDALE RD,,,ON
***96029,20120106,2,PARK OVER 3 HOURS,15,2016,NR,14 BOULTON DR,,,ON
***96470,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2016,R/O,3010 BLOOR ST W,,,ON
***36109,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2016,NR,3249 YONGE ST,,,ON
***14283,20120106,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2017,,3947 LAWRENCE AVE E,,,ON
***83962,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2017,NR,55 ST CLAIR AVE W,,,ON
***96471,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2017,R/O,3010 BLOOR ST W,,,ON
***97382,20120106,29,PARK PROHIBITED TIME NO PERMIT,30,2017,NR,19 TRANBY AVE,,,ON
***05818,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2017,NR,145 FRONT ST E,,,ON
***67709,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2018,NR,40 TEMPERANCE ST,,,ON
***90717,20120106,5,PARK-HWY DRNG PROH TIMES/DAYS,40,2018,NR,1500 ST CLAIR AVE W,,,ON
***96030,20120106,2,PARK OVER 3 HOURS,15,2018,NR,18 BOULTON DR,,,ON
***97383,20120106,29,PARK PROHIBITED TIME NO PERMIT,30,2018,NR,9 TRANBY AVE,,,ON
***07119,20120106,5,PARK-HWY DRNG PROH TIMES/DAYS,40,2018,NR,692 MOUNT PLEASANT RD,,,ON
***27621,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2018,NR,4978 YONGE ST,,,ON
***22305,20120106,347,PARK IN A FIRE ROUTE,250,2019,AT,18 YORKVILLE AVE,,,ON
***67710,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2019,NR,12 TEMPERANCE ST,,,ON
***90235,20120106,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2019,AT,26 CREST FERNWAY,,,ON
***96031,20120106,2,PARK OVER 3 HOURS,15,2019,NR,10 BOULTON DR,,,ON
***04786,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2019,NR,602 COLLEGE ST,,,ON
***15710,20120106,5,PARK HWY PROHIBED TIME/DAY,40,2019,NR,20 EDWARD ST,,,ON
***27366,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2019,NR,448 SPADINA RD,,,ON
***27622,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2019,NR,4968 YONGE ST,,,ON
***34558,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2019,OPP,30 BOND ST,,,ON
***13037,20120106,312,PARKING MACH-NOT USED/NO FEE  ,30,2020,,3885 YONGE ST,,,ON
***35163,20120106,312,PARKING MACH-NOT USED/NO FEE  ,30,2020,,1612 DANFORTH AV,,,ON
***33196,20120106,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2020,,1800 SHEPPARD AVE E,,,ON
***96032,20120106,2,PARK OVER 3 HOURS,15,2020,NR,10 BOULTON DR,,,ON
***15711,20120106,5,PARK HWY PROHIBED TIME/DAY,40,2020,NR,4 EDWARD ST,,,ON
***27623,20120106,8,STAND VEH-HWY-PROH TIME/DAYS,60,2020,NR,4968 YONGE ST,,,ON
***38211,20120106,192,STAND SIGNED TRANSIT STOP,60,2021,NR,720 QUEEN ST W,,,ON
***75087,20120106,5,PARK-HWY DRNG PROH TIMES/DAYS,40,2021,NR,464 DANFORTH AVE,,,ON
***97384,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2021,NR,39 BERNARD AVE,,,ON
***15712,20120106,5,PARK HWY PROHIBED TIME/DAY,40,2021,NR,4 EDWARD ST,,,ON
***27624,20120106,8,STAND VEH-HWY-PROH TIME/DAYS,60,2021,NR,4950 YONGE ST,,,ON
***34559,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2021,OPP,30 BOND ST,,,ON
***38121,20120106,314,PARK - NOT WITHIN PERIOD  ,30,2022,,15 DENISON AVE,,,ON
***96472,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2022,NR,3050 BLOOR ST W,,,ON
***13905,20120106,5,PARK HWY PROHIBITED TIMES/DAYS,40,2022,NR,25 RICHVIEW RD,,,ON
***21476,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2022,NR,420 WELLINGTON ST W,,,ON
***33776,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2022,NR,746 DANFORTH AVE,,,ON
***34560,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2022,OPP,30 BOND ST,,,ON
***36690,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2022,NR,53 ADELAIDE ST E,,,ON
***97385,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2023,NR,138 BEDFORD RD,,,ON
***04787,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2023,NR,554 COLLEGE ST,,,ON
***05819,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2023,NR,178 FRONT ST E,,,ON
***07120,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2023,NR,745 MOUNT PLEASANT RD,,,ON
***36110,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2023,NR,3385 YONGE ST,,,ON
***75088,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2024,NR,452 DANFORTH AVE,,,ON
***96473,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2024,NR,2 BRENTWOOD RD N,,,ON
***97386,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2024,NR,120 BEDFORD RD,,,ON
***11179,20120106,2,PARK OVER 3 HOURS,15,2024,NR,28 LAWLOR AVE,,,ON
***27625,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2024,S/S,UPPER MADISON AVE,W/O,YONGE ST,QC
***36691,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2024,OPP,60 ADELAIDE ST E,,,ON
***83593,20120106,5,PARK HWY PROHIBED TIME/DAY,40,2025,AT,200 QUEENS QUAY W,,,ON
***11180,20120106,2,PARK OVER 3 HOURS,15,2025,NR,40 LAWLOR AVE,,,ON
***21477,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2025,NR,456 WELLINGTON ST W,,,ON
***34561,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2025,NR,53 SHUTER ST,,,ON
***38212,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2026,NR,786 DUNDAS ST W,,,ON
***67711,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2026,E/S,JAMES ST,N/O,QUEEN ST W,ON
***96033,20120106,5,PARK HWY PROHIBED TIME/DAY,40,2026,NR,1 BENVENUTO PL,,,ON
***97387,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2026,NR,112 BEDFORD RD,,,ON
***05820,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2026,NR,261 KING ST E,,,ON
***21478,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2026,NR,436 WELLINGTON ST W,,,ON
***75089,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2027,NR,414 DANFORTH AVE,,,ON
***83594,20120106,5,PARK HWY PROHIBED TIME/DAY,40,2027,NR,200 QUEENS QUAY W,,,ON
***97388,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2027,NR,98 BEDFORD RD,,,ON
***11181,20120106,2,PARK OVER 3 HOURS,15,2027,NR,58 LAWLOR AVE,,,ON
***21479,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2027,NR,436 WELLINGTON ST W,,,ON
***34562,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2027,OPP,82 BOND ST,,,QC
***95226,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2028,OPP,2180 BLOOR ST W,,,ON
***95227,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2028,OPP,2180 BLOOR ST W,,,ON
***18992,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2028,NR,1299 ST CLAIR AVE W,,,ON
***22306,20120106,15,PARK 3M OF FIRE HYDRANT,100,2028,NR,84 YORKVILLE AVE,,,ON
***38213,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2028,NR,762 DUNDAS ST W,,,ON
***67712,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2028,E/S,JAMES ST,N/O,QUEEN ST W,ON
***96474,20120106,1,PARK AT EXPIRED METER,30,2028,OPP,4 MONTGOMERY RD,,,ON
***04788,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2028,OPP,456 COLLEGE ST,,,QC
***11182,20120106,2,PARK OVER 3 HOURS,15,2028,NR,60 LAWLOR AVE,,,ON
***21480,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2028,NR,422 WELLINGTON ST W,,,ON
***27626,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2028,NR,7 SPRING GARDEN AVE,,,ON
***38122,20120106,314,PARK - NOT WITHIN PERIOD  ,30,2029,,15 DENISON AVE,,,ON
***95228,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2029,NR,2179 BLOOR ST W,,,ON
***75090,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2029,NR,410 DANFORTH AVE,,,ON
***97389,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2029,NR,84 BEDFORD RD,,,ON
***15713,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2029,NR,22 COLLEGE ST,,,ON
***27367,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2029,NR,556 ST CLAIR AVE W,,,ON
***27627,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2029,NR,17 SPRING GARDEN AVE,,,ON
***38651,20120106,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2030,,25 HENRY LA TERRACE,,,ON
***93806,20120106,312,PARKING MACH-NOT USED/NO FEE  ,30,2030,,405 SHERBOURNE ST,,,ON
***43303,20120106,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2030,,1 ROWNTREE RD,,,ON
***13523,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2030,NR,1 GRENVILLE ST,,,ON
***21481,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2030,NR,479 WELLINGTON ST W,,,ON
***27628,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2030,NR,19 SPRING GARDEN AVE,,,ON
***34563,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2030,OPP,113 BOND ST,,,ON
***95229,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2031,NR,2197 BLOOR ST W,,,ON
***13524,20120106,5,PARK HWY PROHIBED TIME/DAY,40,2031,NR,1 GRENVILLE ST,,,ON
***83963,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2031,NR,1705 BAYVIEW AVE,,,ON
***96475,20120106,5,PARK HWY PROHIBITED TIMES/DAYS,40,2031,NR,19 THOMPSON AVE,,,ON
***05821,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2031,OPP,480 ADELAIDE ST E,,,ON
***07121,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2031,NR,577 MOUNT PLEASANT RD,,,ON
***27629,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2031,NR,23 SPRING GARDEN AVE,,,ON
***18993,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2032,NR,1253 ST CLAIR AVE W,,,ON
***38214,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2032,NR,821 DUNDAS ST W,,,ON
***97390,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2032,OPP,25 BEDFORD RD,,,ON
***05822,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2032,NR,501 ADELAIDE ST E,,,ON
***07122,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2032,NR,575 MOUNT PLEASANT RD,,,ON
***27630,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2032,NR,39 SPRING GARDEN AVE,,,OH
***34564,20120106,9,STOP HWY PROHIBITED TIME/DAY,60,2032,OPP,104 BOND ST,,,ON
***36111,20120106,8,STAND VEH-HWY-PROH TIME/DAYS,60,2032,NR,3322 YONGE ST,,,ON
***38215,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2033,NR,808 DUNDAS ST W,,,ON
***83964,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2033,NR,1681 BAYVIEW AVE,,,ON
***38427,20120106,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2034,,31 KING'S COLLEGE CIR,,,ON
***95230,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2034,NR,2257 BLOOR ST W,,,ON
***83965,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2034,NR,1669 BAYVIEW AVE,,,ON
***04789,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2034,NR,533 COLLEGE ST,,,ON
***05823,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2034,NR,501 ADELAIDE ST E,,,ON
***07123,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2034,NR,545 MOUNT PLEASANT RD,,,ON
***27631,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2034,NR,59 SPRING GARDEN AVE,,,ON
***13525,20120106,5,PARK HWY PROHIBED TIME/DAY,40,2036,NR,20 EDWARD ST,,,ON
***75091,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2036,NR,288 DANFORTH AVE,,,ON
***83966,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2036,NR,1615 BAYVIEW AVE,,,ON
***83967,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2036,NR,1609 BAYVIEW AVE,,,ON
***97391,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2036,NR,64 PRINCE ARTHUR AVE,,,ON
***38428,20120106,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2037,,31 KING'S COLLEGE CIR,,,ON
***95231,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2037,NR,2312 BLOOR ST W,,,ON
***04790,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2037,NR,575 COLLEGE ST,,,ON
***36692,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2037,NR,67 LOMBARD ST,,,ON
***43412,20120106,8,STD VEH HWY PROHIB TIME/DAY,60,2037,NR,28 STADIUM RD,,,ON
***22307,20120106,5,PARK-HWY DRNG PROH TIMES/DAYS,40,2038,NR,592 YONGE ST,,,ON
***04791,20120106,5,PARK HWY PROHIBED TIME/DAY,40,2038,NR,589 COLLEGE ST,,,ON
***43413,20120106,8,STD VEH HWY PROHIB TIME/DAY,60,2038,NR,28 STADIUM RD,,,ON
***95232,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2039,NR,2288 BLOOR ST W,,,ON
***38216,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2039,OPP,562 DUNDAS ST W,,,ON
***83968,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2039,NR,1525 BAYVIEW AVE,,,ON
***97392,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2039,NR,33 PRINCE ARTHUR AVE,,,ON
***05824,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2039,NR,317 ADELAIDE ST E,,,ON
***11183,20120106,6,PARK HWY IN EXCESS PRMTD TIME,30,2039,NR,507 CRAVEN RD,,,ON
***15714,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2039,NR,110 CHARLES ST W,,,ON
***27368,20120106,8,STAND VEH-HWY-PROH TIMES/DAYS,60,2039,NR,351 OAKWOOD AVE,,,ON
***27632,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2039,OPP,4936 YONGE ST,,,ON
***75092,20120106,5,PARK-HWY DRNG PROH TIMES/DAYS,40,2040,NR,235 DANFORTH AVE,,,ON
***97393,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2040,NR,31 PRINCE ARTHUR AVE,,,ON
***27633,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2040,OPP,4950 YONGE ST,,,ON
***93807,20120106,312,PARKING MACH-NOT USED/NO FEE  ,30,2041,,405 SHERBOURNE ST,,,ON
***28609,20120106,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2041,,480 KING ST W,,,ON
***33197,20120106,347,PARK IN A FIRE ROUTE,250,2041,,1800 SHEPPARD AVE E,,,ON
***04792,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2041,NR,621 COLLEGE ST,,,ON
***27634,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2041,NR,4965 YONGE ST,,,ON
***22308,20120106,29,PARK PROHIBITED TIME NO PERMIT,30,2042,NR,31 GLOUCESTER ST,,,ON
***97394,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2042,NR,21 PRINCE ARTHUR AVE,,,ON
***05428,20120106,192,STAND SIGNED TRANSIT STOP,60,2042,NR,584 PARLIAMENT ST,,,ON
***07124,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2042,NR,612 MOUNT PLEASANT RD,,,ON
***43414,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2042,NR,45 NIAGARA ST,,,ON
***28610,20120106,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2043,,480 KING ST W,,,ON
***75093,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2043,NR,281 DANFORTH AVE,,,ON
***97395,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2043,NR,17 PRINCE ARTHUR AVE,,,ON
***04793,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2043,NR,675 COLLEGE ST,,,ON
***11184,20120106,6,PARK HWY IN EXCESS PRMTD TIME,30,2043,OPP,164 HIAWATHA RD,,,ON
***21482,20120106,8,STD VEH HWY PROHIB TIME/DAY,60,2043,NR,718 QUEEN ST W,,,ON
***34565,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2043,NR,55 ISABELLA ST,,,ON
***95233,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2044,NR,2186 BLOOR ST W,,,ON
***22309,20120106,29,PARK PROHIBITED TIME NO PERMIT,30,2044,NR,25 GLOUCESTER ST,,,OR
***04794,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2044,NR,675 COLLEGE ST,,,ON
***07125,20120106,8,STD VEH HWY PROHIB TIME/DAY,60,2044,N/S,SOUDAN AVE,W/O,MOUNT PLEASANT RD,ON
***11185,20120106,6,PARK HWY IN EXCESS PRMTD TIME,30,2044,OPP,160 HIAWATHA RD,,,ON
***25023,20120106,5,PARK HWY PROHIBED TIME/DAY,40,2044,NR,90 EASTDALE AVE,,,ON
***27369,20120106,2,PARK-LONGER THAN 3 HOURS,15,2044,W/S,NORTHCLIFFE BLVD,N/O,ST CLAIR AVE W,ON
***34566,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2044,NR,33 ISABELLA ST,,,ON
***24524,20120106,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2045,,2765 ISLINGTON AV,,,ON
***28611,20120106,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2045,,480 KING ST W,,,ON
***95234,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2045,NR,2186 BLOOR ST W,,,ON
***38217,20120106,5,PARK-HWY DRNG PROH TIMES/DAYS,40,2045,NR,366 SPADINA AVE,,,ON
***97396,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2045,NR,11 PRINCE ARTHUR AVE,,,ON
***05825,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2045,NR,207 ADELAIDE ST E,,,ON
***27370,20120106,2,PARK-LONGER THAN 3 HOURS,15,2045,W/S,NORTHCLIFFE BLVD,N/O,ST CLAIR AVE W,ON
***95235,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2046,NR,2184 BLOOR ST W,,,ON
***22310,20120106,9,STOP HWY PROHIBITED TIME/DAY,60,2046,NR,11 GLOUCESTER ST,,,ON
***38218,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2046,NR,366 SPADINA AVE,,,ON
***90718,20120106,14,PARK OBSTRUCT DRIVEWAY/LANEWAY,40,2046,NR,9a MILLICENT ST,,,ON
***04795,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2046,NR,719 COLLEGE ST,,,ON
***34567,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2046,NR,17 ISABELLA ST,,,ON
***24525,20120106,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2047,,2765 ISLINGTON AV,,,ON
***38219,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2047,NR,384 SPADINA AVE,,,ON
***05429,20120106,134,PARK IN PUBLIC LANE,30,2047,R/O,473 PARLIAMENT ST,,,ON
***07126,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2047,NR,83 REDPATH AVE,,,ON
***27371,20120106,2,PARK-LONGER THAN 3 HOURS,15,2047,W/S,NORTHCLIFFE BLVD,N/O,ST CLAIR AVE W,ON
***27635,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2047,NR,150 BEECROFT RD,,,ON
***83595,20120106,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2048,AT,3 NAVY WHARF CRT,,,ON
***96034,20120106,5,PARK HWY PROHIBED TIME/DAY,40,2048,NR,33 PLEASANT BLVD,,,ON
***97397,20120106,5,PARK-HWY DRNG PROH TIMES/DAYS,40,2048,NR,180 BLOOR ST W,,,ON
***04796,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2048,NR,783 COLLEGE ST,,,ON
***25024,20120106,2,PARK OVER 3 HOURS,15,2048,OPP,77 DENTONIA PARK AVE,,,ON
***27636,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2048,NR,150 BEECROFT RD,,,ON
***36693,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2048,NR,17 WELLINGTON ST E,,,ON
***43415,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2048,NR,550 WELLINGTON ST W,,,ON
***43416,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2048,NR,550 WELLINGTON ST W,,,QC
***13526,20120106,8,STD VEH HWY PROHIB TIME/DAY,60,2049,OPP,2 ELM ST,,,ON
***83969,20120106,5,PARK HWY PROHIBED TIME/DAY,40,2049,NR,200 ROEHAMPTON AVE,,,ON
***83970,20120106,5,PARK HWY PROHIBED TIME/DAY,40,2049,NR,200 ROEHAMPTON AVE,,,ON
***96035,20120106,5,PARK HWY PROHIBED TIME/DAY,40,2049,NR,33 PLEASANT BLVD,,,ON
***05430,20120106,192,STAND SIGNED TRANSIT STOP,60,2049,NR,461 PARLIAMENT ST,,,ON
***15715,20120106,9,STOP HWY PROHIBITED TIME/DAY,60,2049,NR,15 ST MARY ST,,,ON
***25025,20120106,2,PARK OVER 3 HOURS,15,2049,OPP,77 DENTONIA PARK AVE,,,ON
***33777,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2049,NR,167 DANFORTH AVE,,,ON
***34568,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2049,NR,20 CHARLES ST E,,,ON
***13527,20120106,8,STD VEH HWY PROHIB TIME/DAY,60,2050,OPP,2 ELM ST,,,ON
***83971,20120106,5,PARK HWY PROHIBED TIME/DAY,40,2050,NR,200 ROEHAMPTON AVE,,,ON
***04797,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2050,OPP,788 COLLEGE ST,,,ON
***25026,20120106,2,PARK OVER 3 HOURS,15,2050,OPP,77 DENTONIA PARK AVE,,,ON
***34569,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2050,NR,35 CHARLES ST E,,,ON
***36694,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2050,NR,36 WELLINGTON ST E,,,ON
***42088,20120106,8,STD VEH HWY PROHIB TIME/DAY,60,2050,OPP,171 EAST LIBERTY ST,,,ON
***43417,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2050,NR,75 PORTLAND ST,,,ON
***22101,20120106,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2051,,2765 ISLINGTON AV,,,ON
***67713,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2051,NR,96 ELIZABETH ST,,,ON
***97398,20120106,8,STAND VEH-HWY-PROH TIME/DAYS,60,2051,NR,273 BLOOR ST W,,,ON
***04798,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2051,NR,805 COLLEGE ST,,,ON
***05826,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2051,NR,65 ADELAIDE ST E,,,ON
***07127,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2051,NR,107 REDPATH AVE,,,ON
***25027,20120106,2,PARK OVER 3 HOURS,15,2051,OPP,85 DENTONIA PARK AVE,,,ON
***25028,20120106,2,PARK OVER 3 HOURS,15,2051,OPP,85 DENTONIA PARK AVE,,,ON
***36695,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2051,OPP,42 WELLINGTON ST E,,,ON
***33198,20120106,347,PARK IN A FIRE ROUTE,250,2052,,1800 SHEPPARD AVE E,,,ON
***38220,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2052,NR,99 CAMERON ST,,,ON
***83972,20120106,5,PARK HWY PROHIBED TIME/DAY,40,2052,NR,173 ROEHAMPTON AVE,,,ON
***96036,20120106,8,STD VEH HWY PROHIB TIME/DAY,60,2052,NR,10 ROSEHILL AVE,,,ON
***97399,20120106,8,STAND VEH-HWY-PROH TIME/DAYS,60,2052,NR,273 BLOOR ST W,,,ON
***05431,20120106,347,PARK IN A FIRE ROUTE,250,2052,AT,260 WELLESLEY ST E,,,ON
***07128,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2052,NR,95 REDPATH AVE,,,ON
***43418,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2052,NR,32 STEWART ST,,,ON
***67714,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2053,NR,111 ELIZABETH ST,,,ON
***04799,20120106,5,PARK HWY PROHIBED TIME/DAY,40,2053,NR,829 COLLEGE ST,,,ON
***05432,20120106,347,PARK IN A FIRE ROUTE,250,2053,AT,260 WELLESLEY ST E,,,ON
***05827,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2053,NR,55 ADELAIDE ST E,,,ON
***25029,20120106,2,PARK OVER 3 HOURS,15,2053,OPP,77 DENTONIA PARK AVE,,,ON
***36696,20120106,207,PARK FAIL TO DEP. FEE MACHINE,30,2053,OPP,49 FRONT ST E,,,ON
***42089,20120106,210,PARK FAIL TO DISPLAY RECEIPT,30,2053,NR,24 JEFFERSON AVE,,,ON
